epoch_step,epoch,total_epochs,box_loss,cls_loss,dfl_loss,precision,recall,map50,map50_95
345/500,345,500,0.948525,0.582562,0.991920,0.947590,0.873290,0.930800,0.666620
346/500,346,500,0.956563,0.585292,0.993143,0.947390,0.872680,0.930390,0.666730
347/500,347,500,0.959919,0.589314,0.994648,0.946850,0.872460,0.930260,0.666350
348/500,348,500,0.946479,0.581926,0.989745,0.946790,0.872440,0.930220,0.666390
349/500,349,500,0.945375,0.580831,0.992800,0.946280,0.873890,0.930230,0.666950
350/500,350,500,0.961448,0.592773,0.995541,0.946090,0.874050,0.930280,0.667290
351/500,351,500,0.954818,0.583419,0.994435,0.944430,0.875650,0.930460,0.667130
352/500,352,500,0.959521,0.590493,0.994360,0.945070,0.875460,0.930720,0.667530
353/500,353,500,0.954839,0.583106,0.989885,0.944920,0.875800,0.930880,0.667680
354/500,354,500,0.948278,0.575238,0.988931,0.944410,0.875600,0.930770,0.667250
355/500,355,500,0.953803,0.581245,0.997186,0.946260,0.875370,0.931120,0.667880
356/500,356,500,0.948006,0.577606,0.993338,0.946130,0.874680,0.930860,0.667730
357/500,357,500,0.945620,0.573283,0.989796,0.946460,0.874270,0.931010,0.667990
358/500,358,500,0.952573,0.572537,0.988594,0.946140,0.874740,0.931180,0.668550
359/500,359,500,0.948619,0.580692,0.990472,0.947160,0.873370,0.931060,0.668430
360/500,360,500,0.943206,0.570224,0.991894,0.946600,0.873440,0.931020,0.668140
361/500,361,500,0.943423,0.580119,0.990171,0.946270,0.873910,0.930950,0.668460
362/500,362,500,0.941762,0.576670,0.989919,0.946140,0.874910,0.931320,0.668580
363/500,363,500,0.945793,0.579058,0.993873,0.945550,0.876410,0.931600,0.668560
364/500,364,500,0.954348,0.581148,0.995736,0.945560,0.876220,0.931710,0.668170
365/500,365,500,0.950277,0.574266,0.995477,0.945290,0.877940,0.931690,0.668480
366/500,366,500,0.943136,0.572302,0.989192,0.944960,0.878010,0.931590,0.668520
367/500,367,500,0.940135,0.567268,0.986747,0.944520,0.877960,0.931580,0.668960
368/500,368,500,0.947160,0.574673,0.990268,0.943180,0.878580,0.931340,0.668860
369/500,369,500,0.950552,0.575726,0.991881,0.941150,0.878490,0.931260,0.669210
370/500,370,500,0.944470,0.566000,0.989543,0.942610,0.878790,0.931480,0.669140
371/500,371,500,0.946044,0.576701,0.992987,0.942660,0.878900,0.931590,0.668950
372/500,372,500,0.943698,0.577170,0.993117,0.942620,0.879090,0.931880,0.669180
373/500,373,500,0.935934,0.562477,0.986356,0.944250,0.878190,0.931800,0.668970
374/500,374,500,0.953472,0.578888,0.991892,0.944600,0.878090,0.931970,0.669380
375/500,375,500,0.937839,0.569346,0.987954,0.944850,0.877380,0.932000,0.669460
376/500,376,500,0.938696,0.564560,0.991731,0.944680,0.877470,0.932130,0.669810
377/500,377,500,0.942214,0.575106,0.988986,0.943610,0.876930,0.932360,0.670130
378/500,378,500,0.932660,0.566143,0.988067,0.942970,0.877590,0.932540,0.670130
379/500,379,500,0.935226,0.561388,0.986926,0.944480,0.877340,0.932770,0.670220
380/500,380,500,0.933026,0.564622,0.985788,0.944850,0.877210,0.932250,0.669720
381/500,381,500,0.927756,0.557617,0.983267,0.944840,0.876750,0.932350,0.669820
382/500,382,500,0.926124,0.558543,0.984032,0.944590,0.877090,0.932490,0.670190
383/500,383,500,0.938265,0.567694,0.989270,0.944470,0.875810,0.932550,0.670100
384/500,384,500,0.936634,0.561806,0.980752,0.945770,0.877930,0.932890,0.670400
385/500,385,500,0.931863,0.558818,0.987036,0.944560,0.877330,0.932640,0.670480
386/500,386,500,0.936581,0.560602,0.987173,0.944710,0.876350,0.932350,0.670530
387/500,387,500,0.926616,0.556156,0.983370,0.945170,0.877390,0.932470,0.670750
388/500,388,500,0.924458,0.552613,0.978838,0.945150,0.877130,0.931970,0.670690
389/500,389,500,0.917783,0.550705,0.978384,0.945630,0.877540,0.932040,0.670820
390/500,390,500,0.933400,0.560721,0.987015,0.945200,0.877270,0.931640,0.670870
391/500,391,500,0.925345,0.559639,0.984069,0.945080,0.877600,0.931920,0.671060
392/500,392,500,0.935604,0.564724,0.987838,0.945720,0.877740,0.932160,0.671180
393/500,393,500,0.930454,0.556859,0.982896,0.945390,0.877430,0.932180,0.671720
394/500,394,500,0.929895,0.559329,0.983241,0.945990,0.876810,0.932150,0.671370
395/500,395,500,0.924246,0.553465,0.980979,0.945350,0.876600,0.932010,0.671630
396/500,396,500,0.934851,0.557566,0.983577,0.945410,0.876680,0.931360,0.671480
397/500,397,500,0.925166,0.558717,0.982952,0.945670,0.877420,0.931390,0.671180
398/500,398,500,0.930029,0.558831,0.982240,0.946790,0.877660,0.931770,0.671520
399/500,399,500,0.930890,0.558800,0.985834,0.945150,0.876720,0.931350,0.671060
400/500,400,500,0.924547,0.551074,0.981884,0.946260,0.876780,0.931360,0.671000
401/500,401,500,0.928176,0.558139,0.985170,0.945390,0.876770,0.931090,0.670700
402/500,402,500,0.914578,0.551139,0.980510,0.946130,0.876560,0.930940,0.670290
403/500,403,500,0.924786,0.553835,0.984633,0.945430,0.876590,0.931090,0.670680
404/500,404,500,0.916672,0.553632,0.979449,0.945790,0.876130,0.931050,0.671090
405/500,405,500,0.929094,0.557205,0.984992,0.944780,0.875830,0.930770,0.671650
406/500,406,500,0.915164,0.545262,0.982063,0.944330,0.876200,0.930800,0.671490
407/500,407,500,0.919165,0.553933,0.982385,0.944600,0.876060,0.930860,0.671640
408/500,408,500,0.910115,0.540655,0.976273,0.943960,0.877620,0.930690,0.671770
409/500,409,500,0.916053,0.552473,0.981238,0.943980,0.877620,0.930550,0.671790
410/500,410,500,0.906009,0.547294,0.977704,0.944190,0.876810,0.930690,0.671340
411/500,411,500,0.917550,0.548453,0.976139,0.945110,0.877230,0.930990,0.671520
412/500,412,500,0.913080,0.544341,0.978612,0.944890,0.876970,0.930940,0.671500
413/500,413,500,0.909222,0.544146,0.979525,0.945650,0.877180,0.931150,0.671570
414/500,414,500,0.911654,0.541964,0.977754,0.944000,0.876090,0.930660,0.671380
415/500,415,500,0.912540,0.543937,0.975034,0.944950,0.875290,0.930770,0.671400
416/500,416,500,0.917526,0.542219,0.979450,0.945340,0.875280,0.930750,0.671500
417/500,417,500,0.916489,0.545938,0.978120,0.944680,0.874930,0.930730,0.671130
