epoch_step,epoch,total_epochs,box_loss,cls_loss,dfl_loss,precision,recall,map50,map50_95
157/200,157,200,0.992969,0.617362,1.010282,0.939390,0.855230,0.917980,0.648400
158/200,158,200,0.996228,0.613560,1.009552,0.939610,0.854790,0.917850,0.648440
159/200,159,200,0.991927,0.624468,1.010065,0.939840,0.855260,0.918040,0.648090
160/200,160,200,0.983730,0.615799,1.010870,0.938910,0.855320,0.918460,0.648950
161/200,161,200,0.986993,0.618528,1.011118,0.940740,0.855480,0.918430,0.648970
162/200,162,200,0.981552,0.619020,1.007990,0.940250,0.855290,0.918160,0.649100
163/200,163,200,0.988217,0.620038,1.012605,0.941310,0.855260,0.918460,0.649150
164/200,164,200,0.993301,0.620408,1.013566,0.941190,0.856550,0.918760,0.649960
165/200,165,200,0.985842,0.614011,1.010345,0.942030,0.856390,0.919100,0.650030
166/200,166,200,0.977930,0.609314,1.004915,0.942100,0.856270,0.919160,0.650530
167/200,167,200,0.976569,0.601697,1.005477,0.940090,0.856220,0.919160,0.650750
168/200,168,200,0.979902,0.606816,1.006007,0.941540,0.855190,0.919130,0.651010
169/200,169,200,0.985975,0.605658,1.007921,0.942500,0.855610,0.919050,0.650930
170/200,170,200,0.978751,0.598983,1.004447,0.941870,0.856150,0.918870,0.650940
171/200,171,200,0.973278,0.604289,1.007624,0.942180,0.855190,0.918840,0.651570
172/200,172,200,0.974705,0.603378,1.008817,0.942590,0.855740,0.919040,0.651810
173/200,173,200,0.959981,0.584431,1.000944,0.941030,0.856150,0.919090,0.652280
174/200,174,200,0.979221,0.605176,1.006923,0.941420,0.856780,0.919240,0.652690
175/200,175,200,0.963640,0.595230,1.001943,0.941480,0.857190,0.919160,0.653130
176/200,176,200,0.960192,0.588271,1.004478,0.941620,0.857400,0.919250,0.653030
177/200,177,200,0.967157,0.596549,1.003477,0.941710,0.858290,0.920050,0.652980
178/200,178,200,0.952686,0.587348,0.998922,0.941050,0.858680,0.920200,0.653180
179/200,179,200,0.953769,0.585154,0.998134,0.941090,0.859350,0.920570,0.653200
180/200,180,200,0.949242,0.580362,0.994908,0.941550,0.859730,0.920580,0.653490
181/200,181,200,0.947246,0.577588,0.995211,0.941100,0.859450,0.920460,0.653820
182/200,182,200,0.938468,0.571454,0.991412,0.941240,0.860320,0.920990,0.654050
183/200,183,200,0.949653,0.583212,0.997308,0.941740,0.859310,0.921060,0.654970
184/200,184,200,0.950104,0.576510,0.990194,0.942870,0.858190,0.920920,0.654950
185/200,185,200,0.940404,0.573609,0.991892,0.940960,0.859860,0.920950,0.655040
186/200,186,200,0.947519,0.572601,0.995358,0.941980,0.860110,0.921040,0.655110
187/200,187,200,0.937629,0.567703,0.992268,0.943900,0.857370,0.920530,0.655040
188/200,188,200,0.929503,0.562999,0.987258,0.943790,0.858630,0.920950,0.655250
189/200,189,200,0.920933,0.557500,0.985181,0.943220,0.859350,0.920920,0.655960
190/200,190,200,0.938908,0.567929,0.992228,0.943210,0.859240,0.921280,0.656130
191/200,191,200,0.854967,0.451196,0.922134,0.943990,0.860730,0.921740,0.656780
192/200,192,200,0.845173,0.444431,0.918473,0.943170,0.860570,0.921750,0.657420
193/200,193,200,0.844849,0.442393,0.918938,0.943520,0.860190,0.921530,0.657410
194/200,194,200,0.841900,0.440917,0.916330,0.943330,0.859960,0.921490,0.657710
195/200,195,200,0.836009,0.432845,0.915806,0.943230,0.860130,0.921620,0.657610
196/200,196,200,0.828822,0.428860,0.914307,0.943850,0.860850,0.922110,0.658140
197/200,197,200,0.836960,0.429877,0.917688,0.943310,0.861700,0.922000,0.658080
198/200,198,200,0.831057,0.426550,0.914225,0.943840,0.860870,0.921740,0.657690
199/200,199,200,0.834565,0.431717,0.912616,0.945380,0.861110,0.921990,0.657810
200/200,200,200,0.826099,0.424775,0.915194,0.944380,0.861520,0.922540,0.658120
200/200,200,200,0.826099,0.424775,0.915194,0.942993,0.859877,0.921703,0.658177
